stock,endDate,totalAssets,totalLiab,totalStockholderEquity,asset_liability_ratio,debt_to_equity_ratio
IVC,2019-12-31,852126000.0,543610000.0,308516000.0,63.79,1.76
IVC,2018-12-31,885855000.0,526708000.0,359147000.0,59.46,1.47
IVC,2017-12-31,1066033000.0,642739000.0,423294000.0,60.29,1.52
IVC,2016-12-31,903743000.0,481356000.0,422387000.0,53.26,1.14
CSLT,2019-12-31,242784000.0,69910000.0,172874000.0,28.8,0.4
CSLT,2018-12-31,253514000.0,58843000.0,194671000.0,23.21,0.3
CSLT,2017-12-31,279883000.0,68326000.0,211557000.0,24.41,0.32
CSLT,2016-12-31,157166000.0,55204000.0,101962000.0,35.12,0.54
LPX,2019-12-31,1835000000.0,834000000.0,991000000.0,45.45,0.84
LPX,2018-12-31,2514000000.0,814000000.0,1700000000.0,32.38,0.48
LPX,2017-12-31,2448500000.0,844000000.0,1604500000.0,34.47,0.53
LPX,2016-12-31,2031200000.0,835500000.0,1195700000.0,41.13,0.7
GDYN,2019-12-31,71531000.0,8300000.0,54044000.0,11.6,0.15
GDYN,2018-12-31,41726000.0,8347000.0,33379000.0,20.0,0.25
GDYN,2017-12-31,31152000.0,6757000.0,24395000.0,21.69,0.28
ARA,2019-12-31,1086791000.0,875769000.0,-79450000.0,80.58,-11.02
ARA,2018-12-31,985843000.0,746833000.0,-58970000.0,75.76,-12.66
ARA,2017-12-31,990151000.0,709871000.0,-37856000.0,71.69,-18.75
ARA,2016-12-31,1040228000.0,726454000.0,-31074000.0,69.84,-23.38
MBOT,2019-12-31,37126000.0,5586000.0,31540000.0,15.05,0.18
MBOT,2018-12-31,6090000.0,4760000.0,1330000.0,78.16,3.58
MBOT,2017-12-31,11020000.0,1056000.0,9964000.0,9.58,0.11
MBOT,2016-12-31,3368000.0,1672000.0,1696000.0,49.64,0.99
AZRX,2019-12-31,8902880.0,4285636.0,4617244.0,48.14,0.93
AZRX,2018-12-31,7469395.0,2995523.0,4473872.0,40.1,0.67
AZRX,2017-12-31,5479668.0,3819076.0,1660592.0,69.7,2.3
AZRX,2016-12-31,6753842.0,3540840.0,3213002.0,52.43,1.1
XXII,2019-12-31,68951365.0,6900543.0,62050822.0,10.01,0.11
XXII,2018-12-31,77302136.0,6021761.0,71280375.0,7.79,0.08
XXII,2017-12-31,79739406.0,4313206.0,75426200.0,5.41,0.06
XXII,2016-12-31,27642357.0,3307998.0,24334359.0,11.97,0.14
ABTX,2019-12-31,4992654000.0,4282789000.0,709865000.0,85.78,6.03
ABTX,2018-12-31,4655249000.0,3952265000.0,702984000.0,84.9,5.62
ABTX,2017-12-31,2860231000.0,2553366000.0,306865000.0,89.27,8.32
ABTX,2016-12-31,2450948000.0,2171131000.0,279817000.0,88.58,7.76
NATH,2019-03-31,94306000.0,164450000.0,-70144000.0,174.38,-2.34
NATH,2018-03-25,80091000.0,164659000.0,-84568000.0,205.59,-1.95
NATH,2017-03-26,78125000.0,144616000.0,-66491000.0,185.11,-2.17
NATH,2016-03-27,71549000.0,143885000.0,-72336000.0,201.1,-1.99
EGBN,2019-12-31,8988719000.0,7798038000.0,1190681000.0,86.75,6.55
EGBN,2018-12-31,8389137000.0,7280196000.0,1108941000.0,86.78,6.56
EGBN,2017-12-31,7479029000.0,6528591000.0,950438000.0,87.29,6.87
EGBN,2016-12-31,6890096000.0,6047297000.0,842799000.0,87.77,7.18
PUK,2019-12-31,454214000000.0,434545000000.0,19477000000.0,95.67,22.31
PUK,2018-12-31,647810000000.0,625819000000.0,21968000000.0,96.61,28.49
PUK,2017-12-31,493941000000.0,477847000000.0,16087000000.0,96.74,29.7
PUK,2016-12-31,470498000000.0,455831000000.0,14666000000.0,96.88,31.08
TSLX,2019-12-31,2280931000.0,1161634000.0,1119297000.0,50.93,1.04
TSLX,2018-12-31,1730324000.0,667122000.0,1063202000.0,38.55,0.63
TSLX,2017-12-31,1720238000.0,750954000.0,969284000.0,43.65,0.77
TSLX,2016-12-31,1675532000.0,723320000.0,952212000.0,43.17,0.76
LOGC,2019-12-31,55660000.0,13373000.0,42287000.0,24.03,0.32
LOGC,2018-12-31,82910000.0,2685000.0,80225000.0,3.24,0.03
LOGC,2017-12-31,26174000.0,1711000.0,-8599000.0,6.54,-0.2
LOGC,2016-12-31,2029000.0,920000.0,-3250000.0,45.34,-0.28
NUE,2019-12-31,18344666000.0,7553490000.0,10357866000.0,41.18,0.73
NUE,2018-12-31,17920588000.0,7718620000.0,9792078000.0,43.07,0.79
NUE,2017-12-31,15841258000.0,6756470000.0,8739036000.0,42.65,0.77
NUE,2016-12-31,15223518000.0,6968810000.0,7879865000.0,45.78,0.88
KSU,2019-12-31,9786800000.0,5040900000.0,4416900000.0,51.51,1.14
KSU,2018-12-31,9469800000.0,4337100000.0,4807300000.0,45.8,0.9
KSU,2017-12-31,9198700000.0,4333300000.0,4542800000.0,47.11,0.95
KSU,2016-12-31,8817500000.0,4413000000.0,4083800000.0,50.05,1.08
BWFG,2019-12-31,1882182000.0,1699785000.0,182397000.0,90.31,9.32
BWFG,2018-12-31,1873665000.0,1699469000.0,174196000.0,90.7,9.76
BWFG,2017-12-31,1796607000.0,1635580000.0,161027000.0,91.04,10.16
BWFG,2016-12-31,1628919000.0,1483024000.0,145895000.0,91.04,10.17
ITIC,2019-12-31,263893000.0,72531000.0,191362000.0,27.49,0.38
ITIC,2018-12-31,244268000.0,68629000.0,175639000.0,28.1,0.39
ITIC,2017-12-31,248913000.0,70992000.0,177836000.0,28.52,0.4
ITIC,2016-12-31,228938122.0,73802168.0,155045069.0,32.24,0.48
CSII,2019-06-30,218577000.0,70633000.0,147944000.0,32.31,0.48
CSII,2018-06-30,203352000.0,68882000.0,134470000.0,33.87,0.51
CSII,2017-06-30,193940000.0,75551000.0,118389000.0,38.96,0.64
CSII,2016-06-30,142406000.0,41509000.0,100897000.0,29.15,0.41
BCOR,2019-12-31,1137572000.0,494057000.0,643515000.0,43.43,0.77
BCOR,2018-12-31,997725000.0,365185000.0,607595000.0,36.6,0.6
BCOR,2017-12-31,1001671000.0,442251000.0,541387000.0,44.15,0.82
BCOR,2016-12-31,1022659000.0,589944000.0,417019000.0,57.69,1.41
NBHC,2019-12-31,5895512000.0,5128592000.0,766920000.0,86.99,6.69
NBHC,2018-12-31,5676666000.0,4981660000.0,695006000.0,87.76,7.17
NBHC,2017-12-31,4843465000.0,4311058000.0,532407000.0,89.01,8.1
NBHC,2016-12-31,4573046000.0,4036857000.0,536189000.0,88.28,7.53
PLT,2020-03-28,2257174000.0,2339990000.0,-82816000.0,103.67,-28.26
PLT,2019-03-30,3116535000.0,2394848000.0,721687000.0,76.84,3.32
PLT,2018-03-31,1076887000.0,723917000.0,352970000.0,67.22,2.05
PLT,2017-03-31,1017159000.0,635003000.0,382156000.0,62.43,1.66
BLD,2019-12-31,2603963000.0,1451074000.0,1152889000.0,55.73,1.26
BLD,2018-12-31,2454531000.0,1382433000.0,1072098000.0,56.32,1.29
BLD,2017-12-31,1749549000.0,753030000.0,996519000.0,43.04,0.76
BLD,2016-12-31,1690119000.0,717572000.0,972547000.0,42.46,0.74
EDU,2019-05-31,4646559000.0,2121462000.0,2360686000.0,45.66,0.9
EDU,2018-05-31,3977712000.0,1763017000.0,1991589000.0,44.32,0.89
EDU,2017-05-31,2924979000.0,1204901000.0,1680948000.0,41.19,0.72
EDU,2016-05-31,2354834000.0,920172000.0,1404572000.0,39.08,0.66
BANF,2019-12-31,8565758000.0,7560769000.0,1004989000.0,88.27,7.52
BANF,2018-12-31,7574258000.0,6671469000.0,902789000.0,88.08,7.39
BANF,2017-12-31,7253156000.0,6477527000.0,775629000.0,89.31,8.35
BANF,2016-12-31,7018952000.0,6307858000.0,711094000.0,89.87,8.87
OMI,2019-12-31,3643084000.0,3180930000.0,462154000.0,87.31,6.88
OMI,2018-12-31,3773788000.0,3255369000.0,518419000.0,86.26,6.28
OMI,2017-12-31,3376293000.0,2360814000.0,1015479000.0,69.92,2.32
OMI,2016-12-31,2717752000.0,1757714000.0,960038000.0,64.68,1.83
MDLA,2020-01-31,731649000.0,333853000.0,397796000.0,45.63,0.84
MDLA,2019-01-31,280184000.0,286742000.0,-6630000.0,102.34,-43.25
MDLA,2018-01-31,265182000.0,230125000.0,34985000.0,86.78,6.58
CAI,2019-12-31,2901765000.0,2208525000.0,589375000.0,76.11,3.75
CAI,2018-12-31,3012617000.0,2311485000.0,597267000.0,76.73,3.87
CAI,2017-12-31,2428128000.0,1864283000.0,563845000.0,76.78,3.31
CAI,2016-12-31,2055934000.0,1598430000.0,457504000.0,77.75,3.49
SMLP,2019-12-31,2573451000.0,1782485000.0,469900000.0,69.26,3.79
SMLP,2018-12-31,3020562000.0,1799338000.0,902358000.0,59.57,1.99
SMLP,2017-12-31,2894793000.0,1505124000.0,1056510000.0,51.99,1.42
SMLP,2016-12-31,3115179000.0,1945506000.0,1129132000.0,62.45,1.72
MIDD,2019-12-28,5002143000.0,3055329000.0,1946814000.0,61.08,1.57
MIDD,2018-12-29,4549781000.0,2884578000.0,1665203000.0,63.4,1.73
MIDD,2017-12-30,3339713000.0,1978565000.0,1361148000.0,59.24,1.45
MIDD,2016-12-31,2917136000.0,1651818000.0,1265318000.0,56.62,1.31
POOL,2019-12-31,1483266000.0,1073086000.0,410180000.0,72.35,2.62
POOL,2018-12-31,1240871000.0,1017281000.0,223590000.0,81.98,4.55
POOL,2017-12-31,1101062000.0,877916000.0,223146000.0,79.73,3.93
POOL,2016-12-31,994095000.0,786598000.0,205210000.0,79.13,3.83
AFB,2019-10-31,697490887.0,259653317.0,437837570.0,37.23,0.59
AFB,2018-10-31,664579825.0,173997141.0,398430348.0,26.18,0.44
AFB,2017-10-31,697670271.0,176081846.0,429446109.0,25.24,0.41
AFB,2016-10-31,713221972.0,179568016.0,441513507.0,25.18,0.41
LIQT,2019-12-31,38589723.0,15584192.0,23005531.0,40.38,0.68
LIQT,2018-12-31,13159249.0,4619613.0,8539636.0,35.11,0.54
LIQT,2017-12-31,11679938.0,4767821.0,6909916.0,40.82,0.69
LIQT,2016-12-31,11412328.0,5142580.0,6269748.0,45.06,0.82
SENS,2019-12-31,132801000.0,141450000.0,-8649000.0,106.51,-16.35
SENS,2018-12-31,159973000.0,88712000.0,71261000.0,55.45,1.24
SENS,2017-12-31,45944000.0,38677000.0,7267000.0,84.18,5.32
SENS,2016-12-31,22271000.0,27148000.0,-4877000.0,121.9,-5.57
FSBW,2019-12-31,1713056000.0,1512814000.0,200242000.0,88.31,7.55
FSBW,2018-12-31,1621644000.0,1441606000.0,180038000.0,88.9,8.01
FSBW,2017-12-31,981783000.0,859781000.0,122002000.0,87.57,7.05
FSBW,2016-12-31,827926000.0,746893000.0,81033000.0,90.21,9.22
TMBR,2019-12-31,89893.0,1466111.0,-1376218.0,1630.95,-1.07
FWP,2019-12-31,78165000.0,596000.0,77569000.0,0.76,0.01
FWP,2018-12-31,83332000.0,1118000.0,82214000.0,1.34,0.01
FWP,2017-12-31,111008000.0,21328000.0,89680000.0,19.21,0.24
FWP,2016-12-31,163143000.0,7341000.0,155802000.0,4.5,0.05
ALEC,2019-12-31,421913000.0,227170000.0,194743000.0,53.84,1.17
ALEC,2018-12-31,308359000.0,195237000.0,-97398000.0,63.31,-2.0
ALEC,2017-12-31,236060000.0,210608000.0,-52033000.0,89.22,-4.05
ALEC,2016-12-31,54111000.0,1533000.0,-24907000.0,2.83,-0.06
ALRS,2019-12-31,2356878000.0,2071150000.0,285728000.0,87.88,7.25
ALRS,2018-12-31,2179070000.0,2016610000.0,162460000.0,92.54,12.41
ALRS,2017-12-31,2136081000.0,1987978000.0,148103000.0,93.07,13.42
ALRS,2016-12-31,2050045000.0,1910829000.0,139216000.0,93.21,13.73
UNH,2019-12-31,173889000000.0,111727000000.0,57616000000.0,64.25,1.94
UNH,2018-12-31,152221000000.0,95994000000.0,51696000000.0,63.06,1.86
UNH,2017-12-31,139058000000.0,87036000000.0,47776000000.0,62.59,1.82
UNH,2016-12-31,122810000000.0,82621000000.0,38274000000.0,67.28,2.16
SNAP,2019-12-31,4011924000.0,1752011000.0,2259913000.0,43.67,0.78
SNAP,2018-12-31,2714106000.0,403107000.0,2310999000.0,14.85,0.17
SNAP,2017-12-31,3421566000.0,429239000.0,2992327000.0,12.55,0.14
SNAP,2016-12-31,1722792000.0,203878000.0,1518913000.0,11.83,0.13
RETA,2019-12-31,682420000.0,425563000.0,256857000.0,62.36,1.66
RETA,2018-12-31,345208000.0,330049000.0,15159000.0,95.61,21.77
RETA,2017-12-31,135337000.0,282310000.0,-146973000.0,208.6,-1.92
RETA,2016-12-31,89093000.0,304141000.0,-215048000.0,341.37,-1.41
FNB,2019-12-31,34615000000.0,29732000000.0,4776000000.0,85.89,6.23
FNB,2018-12-31,33102000000.0,28494000000.0,4501000000.0,86.08,6.33
FNB,2017-12-31,31418000000.0,27009000000.0,4302000000.0,85.97,6.28
FNB,2016-12-31,21844817000.0,19273200000.0,2464735000.0,88.23,7.82
NWL,2019-12-31,15642000000.0,10646000000.0,4963300000.0,68.06,2.14
NWL,2018-12-31,17722400000.0,12469200000.0,5218400000.0,70.36,2.39
NWL,2017-12-31,33135500000.0,18954200000.0,14144700000.0,57.2,1.34
NWL,2016-12-31,33837500000.0,22453100000.0,11348800000.0,66.36,1.98
JOE,2019-12-31,909233000.0,379563000.0,519521000.0,41.75,0.73
JOE,2018-12-31,870962000.0,337851000.0,518171000.0,38.79,0.65
JOE,2017-12-31,920993000.0,328409000.0,577557000.0,35.66,0.57
JOE,2016-12-31,1027945000.0,341146000.0,669293000.0,33.19,0.51
LMPX,2019-12-31,19908249.0,4060812.0,15847437.0,20.4,0.26
LMPX,2018-12-31,14216571.0,4462474.0,9754097.0,31.39,0.46
LMPX,2017-12-31,4256672.0,1724465.0,2532207.0,40.51,0.68
LMPX,2016-12-31,337152.0,18538.0,318614.0,5.5,0.06
MT,2019-12-31,87908000000.0,47425000000.0,38521000000.0,53.95,1.23
MT,2018-12-31,91249000000.0,47141000000.0,42086000000.0,51.66,1.12
MT,2017-12-31,85297000000.0,44442000000.0,38789000000.0,52.1,1.15
MT,2016-12-31,75142000000.0,42817000000.0,30135000000.0,56.98,1.42
APEN,2019-12-31,74582000.0,72459000.0,2123000.0,97.15,34.13
APEN,2018-12-31,74468000.0,45638000.0,28830000.0,61.29,1.58
APEN,2017-12-31,109061000.0,59148000.0,49913000.0,54.23,1.19
APEN,2016-12-31,102124000.0,59707000.0,42417000.0,58.47,1.41
BDL,2019-09-28,68755000.0,24226000.0,38321000.0,35.24,0.63
BDL,2018-09-29,67265000.0,25923000.0,35193000.0,38.54,0.74
BDL,2017-09-30,60509000.0,22333000.0,31981000.0,36.91,0.7
BDL,2016-10-01,56401000.0,20082000.0,29333000.0,35.61,0.68
ASPN,2019-12-31,103502000.0,44512000.0,58990000.0,43.01,0.75
ASPN,2018-12-31,99023000.0,28769000.0,70254000.0,29.05,0.41
ASPN,2017-12-31,123815000.0,22872000.0,100943000.0,18.47,0.23
ASPN,2016-12-31,134669000.0,19105000.0,115564000.0,14.19,0.17
OTEX,2019-06-30,7933975000.0,4049305000.0,3883455000.0,51.04,1.04
OTEX,2018-06-30,7765029000.0,4047771000.0,3716221000.0,52.13,1.09
OTEX,2017-06-30,7480562000.0,3947243000.0,3532358000.0,52.77,1.12
OTEX,2016-06-30,5154144000.0,3174947000.0,1978656000.0,61.6,1.6
WM,2019-12-31,27743000000.0,20673000000.0,7068000000.0,74.52,2.92
WM,2018-12-31,22650000000.0,16374000000.0,6275000000.0,72.29,2.61
WM,2017-12-31,21829000000.0,15787000000.0,6019000000.0,72.32,2.62
WM,2016-12-31,20859000000.0,15539000000.0,5297000000.0,74.5,2.93
LIND,2019-12-31,548658000.0,409296000.0,123250000.0,74.6,3.32
LIND,2018-12-31,473409000.0,350863000.0,116044000.0,74.11,3.02
LIND,2017-12-31,424348000.0,311724000.0,106322000.0,73.46,2.93
LIND,2016-12-31,407701000.0,288722000.0,113809000.0,70.82,2.54
HDS,2020-02-02,4715000000.0,3363000000.0,1352000000.0,71.33,2.49
HDS,2019-02-03,4233000000.0,2952000000.0,1281000000.0,69.74,2.3
HDS,2018-01-28,4318000000.0,2852000000.0,1466000000.0,66.05,1.95
HDS,2017-01-29,5707000000.0,4747000000.0,960000000.0,83.18,4.94
PPIH,2020-01-31,112225000.0,56596000.0,55629000.0,50.43,1.02
PPIH,2019-01-31,102205000.0,50504000.0,51701000.0,49.41,0.98
PPIH,2018-01-31,104584000.0,52772000.0,51812000.0,50.46,1.02
PPIH,2017-01-31,101611000.0,42198000.0,59413000.0,41.53,0.71
